from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
24012,Bassano del Grappa,VIAA88102N,"BASSANO - ""XXV APRILE""",VIA RIVANA,45.768832667197,11.704688696087,8976,45.828396,11.7002226,village,Valbrenta,24125,9107.626,776059
24012,Bassano del Grappa,VIAA88103P,"BASSANO ""R.' BRENTA""-MONTESSORI",VIA VENETO,45.760805858466,11.712007998564,8976,45.828396,11.7002226,village,Valbrenta,24125,9043.074,751125
24012,Bassano del Grappa,VIAA88101L,BASSANO - S. EUSEBIO,VIA MARZAROTTO,45.782745353455,11.720220016404,8976,45.828396,11.7002226,village,Valbrenta,24125,5856.609,473576
24012,Bassano del Grappa,VIAA88201C,MONUMENTO AI CADUTI,VIA XI FEBBRAIO,45.761091217807,11.737041191212,8976,45.828396,11.7002226,village,Valbrenta,24125,9291.538,668943
24012,Bassano del Grappa,VIAA88202D,DOMENICO RICO TESSAROLO,VIA MELAGRANI,45.753410631469,11.724815154433,8976,45.828396,11.7002226,village,Valbrenta,24125,10874.53,797531
24012,Bassano del Grappa,VIAA88801B,BASSANO - CA' BARONCELLO,VIA FRATELLI BANDIERA N. 3,45.759860987471,11.747631329987,8976,45.828396,11.7002226,village,Valbrenta,24125,9612.699,730312
24012,Bassano del Grappa,VI1A136005,"SCUOLA MATERNA ""FONDAZIONE PIRANI CREMONA""",VIA GOBBI 8,45.758364320247,11.735381303558,8976,45.828396,11.7002226,village,Valbrenta,24125,9681.055,701546
24012,Bassano del Grappa,VI1A028009,"SCUOLA DELL'INFANZIA ""PIO BAGGIO""",PIAZZALE DEL DONATORE5 - FRAZ. MARCHESANE,45.749461072767,11.699028766613,8976,45.828396,11.7002226,village,Valbrenta,24125,10992.043,938885
24012,Bassano del Grappa,VI1A135009,"SCUOLA DELL'INFANZIA PARIT.""GAETANA STERNI""",via Marinoni 43,45.767014632939,11.748204403155,8976,45.828396,11.7002226,village,Valbrenta,24125,8716.7,642446
24012,Bassano del Grappa,VI1A02600N,"SC.MAT.NON STAT.""M.AUSILIATRICE""",VIA 4 NOVEMBRE20,45.802340016608,11.710809968277,8976,45.828396,11.7002226,village,Valbrenta,24125,3397.117,273551
24012,Bassano del Grappa,VI1A058005,"SCUOLA DELL'INFANZIA PARIT.""M.IMMACOLATA""",VIA SANTA CROCE 34/36,45.750619985978,11.735870014753,8976,45.828396,11.7002226,village,Valbrenta,24125,10863.648,798598
