from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
56014,Capranica,VTAA825017,SCUOLA INFANZIA CAPRANICA,VIA DELLA MATTONARA SNC,42.257200756665,12.173059214484,16297,42.2183916,12.1930062,village,Bassano Romano,56005,10047.727,701883
56041,Oriolo Romano,VTAA82402C,SC. INFANZIA ORIOLO ROMANO,VIA ORSINI,42.160333624398,12.139392746768,16297,42.2183916,12.1930062,village,Bassano Romano,56005,11181.521,811911
56041,Oriolo Romano,VT1A028008,"""SAN GIUSEPPE""",BORGO GARIBALDI 9,42.15970001284,12.139480026504,16297,42.2183916,12.1930062,village,Bassano Romano,56005,11292.941,820825
56056,Vejano,VTAA825028,SCUOLA INFANZIA VEIANO,VIA DELLA REPUBBLICA 5,42.21938000164,12.093649959235,16297,42.2183916,12.1930062,village,Bassano Romano,56005,13636.341,910806
56005,Bassano Romano,VTAA82401B,SC. INFANZIA BASSANO ROMANO,VIA S. GRATILIANO20,42.220779989018,12.189859958454,16297,42.2183916,12.1930062,village,Bassano Romano,56005,518.31,55668
56033,Lubriano,VTAA80302B,PIAZZA COL DI LANA - LUBRIANO,PIAZZA COL DI LANA SNC,42.636313403571,12.11083928808,18069,42.6062056,12.1177934,village,Bagnoregio,56003,9267.155,592759
56059,Viterbo,VTAA80802E,PIO FEDI - GROTTE S. STEFANO,VIA OLIVETI 5,42.51589936291,12.172994492522,18069,42.6062056,12.1177934,village,Bagnoregio,56003,17903.575,1181660
56059,Viterbo,VTAA833016,""" GIUSEPPE LOMBARDO RADICE """,VIA C. CATTANEO,42.412429217801,12.117792348284,18069,42.6062056,12.1177934,village,Bagnoregio,56003,27092.29,1706386
56059,Viterbo,VTAA83103L,SC. MAT. VILLANOVA,VIA GARBINI,42.425157492655,12.104428493623,18069,42.6062056,12.1177934,village,Bagnoregio,56003,25491.884,1562730
56059,Viterbo,VTAA833027,"SCUOLA DELL'INFANZIA ""A. MANZI""",VIA MARCHE 4,42.369689989076,12.125869995042,18069,42.6062056,12.1177934,village,Bagnoregio,56003,32007.976,1968581
56059,Viterbo,VTAA83203C,INFANZIA S. LEONARDO MURIALDO,VIA L. MURIALDO S.N.C.,42.416713332241,12.118694707189,18069,42.6062056,12.1177934,village,Bagnoregio,56003,26453.506,1683975
56059,Viterbo,VTAA834034,FRAZ. BAGNAIA,VIA ALESSANDRO QUADRANI,42.429180655404,12.151042813215,18069,42.6062056,12.1177934,village,Bagnoregio,56003,25810.53,1668942
56059,Viterbo,VTAA835041,SCUOLA INFANZIA CENTRO STORICO,VIA EMILIO BIANCHI13,42.4198799871,12.105900026907,18069,42.6062056,12.1177934,village,Bagnoregio,56003,26052.698,1635877
56059,Viterbo,VTAA834012,ELLERA,VIA VENEZIA GIULIA,42.426991630097,12.111109073321,18069,42.6062056,12.1177934,village,Bagnoregio,56003,25041.884,1573607
56059,Viterbo,VTAA834023,SANTA BARBARA,VIA FRIULI,42.427242883794,12.111158055057,18069,42.6062056,12.1177934,village,Bagnoregio,56003,25054.706,1575146
56059,Viterbo,VTAA82901E,SAN SISTO,PIAZZA S.SISTO,42.414789992578,12.109520003251,18069,42.6062056,12.1177934,village,Bagnoregio,56003,26402.969,1677909
56059,Viterbo,VTAA83503X,LOC. TOBIA,STRADA TOBIA,42.36597443444,12.097500470912,18069,42.6062056,12.1177934,village,Bagnoregio,56003,32452.824,1983422
56059,Viterbo,VTAA82902G,SCUOLA INFANZIA PILASTRO,VIA MINCIOTTI,42.422278046394,12.097789241325,18069,42.6062056,12.1177934,village,Bagnoregio,56003,26182.66,1622699
56059,Viterbo,VTAA83502V,VIA S. PIETRO,VIA DEL CARMINE,42.411643583575,12.102963503641,18069,42.6062056,12.1177934,village,Bagnoregio,56003,27425.457,1695154
56059,Viterbo,VTAA83501T,VIA LAGO TRASIMENO,STRADA SALAMARO SNC,42.409290629422,12.099270578669,18069,42.6062056,12.1177934,village,Bagnoregio,56003,27331.451,1756683
56059,Viterbo,VT1A01800N,SAN FAUSTINO SOCIETA' COOPERATIVA SOCIALE,VIA MARIA SS. LIBERATRICE 3,42.420039997632,12.103219997186,18069,42.6062056,12.1177934,village,Bagnoregio,56003,25733.147,1602297
56059,Viterbo,VT1A01700T,S. MARIA DEL PARADISO,VIA DEL PARADISO 22,42.422866883896,12.111245702641,18069,42.6062056,12.1177934,village,Bagnoregio,56003,25508.453,1575966
56059,Viterbo,VT1A001008,PREZIOSISSIMO SANGUE,VIA GIOVANNI MERLINI,42.423051218444,12.109332054302,18069,42.6062056,12.1177934,village,Bagnoregio,56003,25497.312,1579569
56059,Viterbo,VT1AF05004,BOTTEGA DEI TALENTI,VIA RAFFAELLO 16H,42.440068871112,12.113637856303,18069,42.6062056,12.1177934,village,Bagnoregio,56003,24552.09,1570385
56059,Viterbo,VT1A2A5006,CASA DEI BAMBINI MONTESSORI,VIALE 4 NOVEMBRE 23,42.418289981977,12.112920038455,18069,42.6062056,12.1177934,village,Bagnoregio,56003,26165.302,1649391
56059,Viterbo,VT1ASV500T,POLLICINO,VIALE FIUME 115,42.429030007883,12.14546998597,18069,42.6062056,12.1177934,village,Bagnoregio,56003,26119.305,1705804
56059,Viterbo,VT1AH4500S,NATURILANDIA,LARGO S. BERNARDINO DA SIENA 22,42.427949999658,12.107770029506,18069,42.6062056,12.1177934,village,Bagnoregio,56003,24827.485,1547879
56036,Montefiascone,VTAA82803R,PLESSO DI ZEPPONAMI,VIA GIGLIO VECCHIO,42.532595,12.022023057,18069,42.6062056,12.1177934,village,Bagnoregio,56003,14895.879,1030063
56036,Montefiascone,VTAA82801P,PLESSO GRAZIE,VIA S.M. DELLE GRAZIE,42.544437047837,12.037085575538,18069,42.6062056,12.1177934,village,Bagnoregio,56003,13054.97,873978
